"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.710378312556315,1,0.987,0,"0","RPL32"
0,0.36529144605939,0.999,0.986,0,"0","RPS2"
0,0.588755254095507,0.997,0.984,0,"0","RPS3"
0,0.553581739822854,0.941,0.928,0,"0","RPL38"
0,0.492470444134959,0.993,0.981,0,"0","RPL39"
0,0.555034537856034,0.996,0.984,0,"0","RPS16"
0,0.67682113401111,0.999,0.987,0,"0","RPS6"
0,0.437137472284064,0.987,0.976,0,"0","FAU"
0,0.539924327885146,1,0.989,0,"0","MALAT1"
0,0.705084059159258,0.998,0.987,0,"0","RPL11"
0,0.467866523645473,0.999,0.988,0,"0","RPL18A"
0,0.285308343397372,0.979,0.968,0,"0","RPS11"
0,0.606118937997984,0.78,0.77,0,"0","CIRBP"
0,0.380600072427654,0.959,0.949,0,"0","HLA-B"
0,0.494433294360493,0.997,0.987,0,"0","RPL27A"
0,0.733348237361176,0.997,0.987,0,"0","RPS12"
0,0.723664448175357,0.999,0.989,0,"0","RPS27A"
0,0.282736539887412,0.994,0.984,0,"0","RPS9"
0,0.494492979485522,0.996,0.987,0,"0","EIF1"
0,0.591608564332251,0.999,0.99,0,"0","RPL28"
0,0.746162009681401,0.998,0.989,0,"0","RPL34"
0,0.586589324656514,0.998,0.989,0,"0","RPS14"
0,0.462990416888586,0.984,0.975,0,"0","RPS28"
0,0.471845042397908,0.915,0.907,0,"0","PFDN5"
0,0.683485328491538,0.999,0.991,0,"0","RPL21"
0,0.428380425303478,0.999,0.991,0,"0","RPS19"
0,0.653414954683115,0.996,0.988,0,"0","TPT1"
0,0.344767906805584,0.997,0.99,0,"0","RPS15"
0,0.325864924322036,0.999,0.992,0,"0","RPS18"
0,0.866636131744461,0.999,0.992,0,"0","RPS27"
0,0.624721687158643,0.767,0.774,0,"0","TOMM7"
0,0.77203156517596,0.999,0.993,0,"0","EEF1A1"
0,0.594420367527178,0.996,0.99,0,"0","RPLP2"
0,0.515054400958553,0.85,0.844,0,"0","UQCRB"
0,0.564153313819024,0.999,0.994,0,"0","RPL13"
0,0.670466869208751,1,0.995,0,"0","RPLP1"
0,0.758178716875863,0.639,0.635,0,"0","HNRNPA0"
0,0.626168238895281,0.999,0.995,0,"0","RPL10"
0,0.528525109278328,0.999,0.995,0,"0","RPL13A"
0,0.523750758267176,0.998,0.994,0,"0","RPL41"
0,0.720936713610357,1,0.997,0,"0","B2M"
0,0.402925326840438,1,0.997,0,"0","TMSB4X"
0,0.623210815214942,0.68,0.679,0,"0","SRSF5"
1.78255937727386e-17,0.44251996586228,0.214,0.412,4.3369669649073e-13,"0","HSPA1B"
2.22044604925031e-16,1.09546478785732,0.531,0.479,5.40234523782601e-12,"0","PPP1CB"
2.22044604925031e-16,0.394234377139252,0.866,0.834,5.40234523782601e-12,"0","NPM1"
4.44089209850063e-16,1.37658312962996,0.25,0.103,1.0804690475652e-11,"0","SLA"
6.66133814775094e-16,0.76101094386282,0.814,0.768,1.6207035713478e-11,"0","HSPA8"
1.11022302462516e-15,1.35829241248826,0.322,0.192,2.70117261891301e-11,"0","PTGER4"
1.33226762955019e-15,0.429680382195989,0.885,0.866,3.24140714269561e-11,"0","EEF1B2"
1.55431223447522e-15,0.362667671984553,0.915,0.932,3.78164166647821e-11,"0","UBC"
2.66453525910038e-15,0.673984193971752,0.715,0.709,6.48281428539121e-11,"0","SELK"
3.5527136788005e-15,0.360472260724841,0.912,0.89,8.64375238052162e-11,"0","BTF3"
4.7844173844794e-15,0.258510521509217,0.141,0.261,1.16404874964384e-10,"0","PPP1R7"
3.81916720471054e-14,1.27390718920044,0.391,0.269,9.29203380906074e-10,"0","GLIPR1"
5.08482145278322e-14,0.479422280979668,0.828,0.803,1.23713705946216e-09,"0","HINT1"
5.55111512312578e-14,1.16697955179961,0.281,0.132,1.3505863094565e-09,"0","SH2D2A"
8.5043083686287e-14,1.42653006766326,0.333,0.194,2.06909822608736e-09,"0","AC016831.7"
1.02140518265514e-13,2.06251444827429,0.257,0.143,2.48507880939997e-09,"0","TMEM173"
1.47437617670221e-13,1.30261052809416,0.364,0.242,3.58715723791647e-09,"0","RP11-138A9.2"
2.40474307133809e-13,1.16499317532959,0.427,0.338,5.85073989256557e-09,"0","ICAM3"
4.21440660147709e-13,0.996544067461418,0.452,0.378,1.02536512613938e-08,"0","STK4"
5.36015676289026e-13,1.19033336826456,0.322,0.2,1.3041261404112e-08,"0","SEPT1"
6.12843109593086e-13,0.527900215858161,0.735,0.756,1.49104728563998e-08,"0","RPL36A"
7.66497976201208e-13,1.2314861661455,0.263,0.14,1.86488957609754e-08,"0","ETS1"
2.307265489776e-12,1.62205218982411,0.256,0.153,5.61357693662501e-08,"0","TCF7"
3.89310805815057e-12,1.47714047938943,0.367,0.281,9.47193190548035e-08,"0","FOXP1"
3.98170385551566e-12,0.621248548899507,0.717,0.694,9.6874854804696e-08,"0","EIF3E"
6.35336228071992e-12,1.08465340400896,0.438,0.396,1.54577304289916e-07,"0","RAP1A"
6.66022792472631e-12,1.13899393160136,0.382,0.307,1.62043345408591e-07,"0","ARID5A"
1.34882690106996e-11,0.263222231006705,0.122,0.252,3.28169585030322e-07,"0","HTATIP2"
3.52833078982012e-11,0.262427023092068,0.164,0.277,8.58442881163235e-07,"0","CWC15"
5.27393684279787e-11,1.18610588424453,0.255,0.15,1.28314883385272e-06,"0","RASSF5"
5.36588551369732e-11,1.19202139309685,0.519,0.469,1.30551994548256e-06,"0","ANXA1"
6.06779071432584e-11,0.571996521507958,0.638,0.571,1.47629348079548e-06,"0","LDHB"
1.18050458297603e-10,0.539440993020345,0.674,0.708,2.87216765038067e-06,"0","UBE2D3"
1.80353509904307e-10,0.949036677834023,0.466,0.406,4.3880008959718e-06,"0","ARID4B"
2.11130224414546e-10,0.542617714151401,0.73,0.728,5.13679836000591e-06,"0","CCNI"
2.63852273363341e-10,0.335576586295995,0.907,0.901,6.41952581093008e-06,"0","PFN1"
5.23322496448486e-10,0.752921603724842,0.269,0.124,1.27324363385917e-05,"0","GZMM"
5.31688471028247e-10,0.626549468712667,0.606,0.602,1.29359805001172e-05,"0","ARPC1B"
7.37772287706662e-10,0.724217576126166,0.388,0.34,1.79499997599031e-05,"0","RGS10"
7.41342098820041e-10,0.350645714141114,0.873,0.845,1.80368532642916e-05,"0","EEF2"
7.79022846231214e-10,1.16045986839667,0.278,0.191,1.89536258488054e-05,"0","CD27"
1.85751302818885e-09,0.253627453055796,0.172,0.307,4.51932919758346e-05,"0","DERL1"
