"gene","logFC","logCPM","F","PValue","FDR","significance"
"LMTK3",5.97071554999717,3.76547490374785,78.3611066063143,1.55398968050313e-07,3.08600386843076e-05,"Up in tumor"
"DISP2",-3.30161799520167,1.1170936463909,90.2537017527878,1.56121612230898e-07,3.08600386843076e-05,"Down in tumor"
"MEIS1",-5.44240768412054,0.922821659781253,77.403043962421,1.60494810824819e-07,3.11669162984113e-05,"Down in tumor"
"CPNE7",3.91035038993115,2.96738560076762,60.2910960149295,1.62679640198887e-07,3.11669162984113e-05,"Up in tumor"
"SLC6A6",2.42705453861198,3.83163760218003,81.5758738070484,1.85828761124016e-07,3.45469379315428e-05,"Up in tumor"
"PLAC9",-4.67440964845814,0.761923404088603,68.1509137459537,1.86679004689665e-07,3.45469379315428e-05,"Down in tumor"
"CD177",-5.90302667536248,4.88666090382701,112.641839387054,1.8864464621737e-07,3.45469379315428e-05,"Down in tumor"
"RP11-395B7.2",-2.49288885686323,3.93102237096014,97.0440163716842,2.01667719198207e-07,3.63966392344243e-05,"Down in tumor"
"CPT1A",-1.66658075450275,4.80219708568082,97.9371294959635,2.10382792278422e-07,3.73982368484767e-05,"Down in tumor"
"CPNE8",-5.44086402983426,2.66307166793653,81.177020746747,2.13223706435545e-07,3.73982368484767e-05,"Down in tumor"
"ACADS",-2.54239371181001,5.85753295935983,96.7192993864513,2.23795644010086e-07,3.87073215952445e-05,"Down in tumor"
"XXbac-BPG32J3.19",8.41643487152169,4.3307134439736,161.94093648046,2.4014760661272e-07,4.0966549933537e-05,"Up in tumor"
"NEDD4L",-2.20785521161933,5.79185535284222,95.3877342087059,2.43535605189837e-07,4.09830931274195e-05,"Down in tumor"
"CNTN3",-6.80906738503748,-0.118181596054805,83.5547569437964,2.50413632678158e-07,4.13231203887828e-05,"Down in tumor"
"FBXO2",5.2998711791581,3.38491026106503,70.2385270969737,2.53506198468647e-07,4.13231203887828e-05,"Up in tumor"
