"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.29357993369074,0.474,0.012,0,"14","PLD4"
0,6.14723615495482,0.369,0.008,0,"14","DNASE1L3"
0,5.03109161844031,0.275,0.01,0,"14","CD1C"
0,5.01101883322654,0.305,0.018,0,"14","P2RY6"
0,4.63340661392176,0.54,0.074,0,"14","CPVL"
0,4.5907912844879,0.336,0.036,0,"14","GPR157"
0,4.53259477069425,0.493,0.026,0,"14","CSF2RA"
0,10.3545708679954,0.909,0.059,0,"15","GUCA2B"
0,10.3034060439979,0.483,0.004,0,"15","OTOP2"
0,9.75094483475748,0.923,0.074,0,"15","GUCA2A"
0,9.61761963884687,0.507,0.008,0,"15","BEST4"
0,9.152833053647,0.781,0.018,0,"15","LYPD8"
0,8.8471987301034,0.469,0.019,0,"15","AQP8"
0,8.71942496402013,0.536,0.01,0,"15","CLCA4"
0,8.39261784293467,0.45,0.072,0,"15","ZG16"
0,8.30452144028131,0.308,0.004,0,"15","MYOM1"
0,8.09462114329679,0.401,0.011,0,"15","CA7"
0,5.38274578008316,0.624,0.064,0,"16","TYMS"
0,5.05380664712925,0.275,0.028,0,"16","AURKB"
0,4.93552208404264,0.467,0.053,0,"16","MKI67"
0,4.92404863372355,0.72,0.09,0,"16","KIAA0101"
0,4.90028757460075,0.415,0.048,0,"16","RRM2"
0,4.88794678478204,0.354,0.038,0,"16","TOP2A"
0,4.64180418390245,0.459,0.06,0,"16","ZWINT"
0,4.63884160325228,0.519,0.063,0,"16","BIRC5"
0,4.60044746691061,0.92,0.257,0,"16","STMN1"
0,4.58940328622714,0.508,0.053,0,"16","NUSAP1"
0,13.3553042982303,0.734,0,0,"17","CDH19"
0,12.7004338200931,0.329,0,0,"17","SOX10"
0,12.4916849270525,0.917,0.002,0,"17","PLP1"
0,12.3568239614017,0.574,0,0,"17","PCSK2"
0,12.0854153046825,0.862,0.001,0,"17","NRXN1"
0,11.9089921295171,0.761,0.001,0,"17","MYOT"
0,11.860989178653,0.488,0.001,0,"17","FOXD3-AS1"
0,10.9716916916834,0.339,0.001,0,"17","LRRTM1"
0,10.6981641934343,0.509,0.001,0,"17","XKR4"
0,10.662429682253,0.654,0.001,0,"17","GFRA3"
0,12.2511198604034,0.565,0.001,0,"18","VSTM2A"
0,11.337649908944,0.281,0,0,"18","DHRS7C"
0,9.28582359604093,0.676,0.004,0,"18","ENHO"
0,9.19134920756391,0.253,0.001,0,"18","COL4A6"
0,8.57803073744943,0.257,0.001,0,"18","GLP2R"
0,8.48284398288644,0.502,0.003,0,"18","TRPA1"
0,7.99276303449766,0.668,0.007,0,"18","BMP5"
0,7.79933581986995,0.387,0.004,0,"18","COL4A5"
0,7.54224663176182,0.285,0.003,0,"18","PTGDR2"
0,7.36924735569351,0.589,0.011,0,"18","SOX6"
0,13.6314372665479,1,0.009,0,"19","TPSAB1"
0,12.9634435431537,1,0.027,0,"19","TPSB2"
0,12.4611660301958,0.321,0.001,0,"19","CTSG"
0,12.3525902692988,0.658,0.001,0,"19","MS4A2"
0,12.2154191357489,0.908,0.003,0,"19","CPA3"
0,11.7964605156806,0.403,0.001,0,"19","RP11-354E11.2"
0,11.7054435816663,0.556,0.001,0,"19","SLC18A2"
0,11.4299031470322,0.52,0.001,0,"19","HDC"
0,10.1073174209435,0.781,0.004,0,"19","HPGDS"
0,8.86209901193297,0.724,0.018,0,"19","GATA2"
0,5.09343303952897,0.425,0.023,0,"20","HMMR"
0,4.85967897327162,0.358,0.021,0,"20","CEP55"
0,4.8248705854175,0.613,0.04,0,"20","TOP2A"
0,4.79598533122783,0.396,0.017,0,"20","SHCBP1"
0,4.58545245425696,0.283,0.015,0,"20","KIF11"
0,4.54354768518472,0.34,0.024,0,"20","ANLN"
0,4.5266945123684,0.302,0.021,0,"20","GTSE1"
0,4.52447956909881,0.689,0.044,0,"20","CDK1"
0,4.48100517854362,0.311,0.017,0,"20","SPC24"
0,4.46095320000612,0.274,0.011,0,"20","RNASE2"
