"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.14161220043573,0.214563940054136,0.173747838999571,-0.252972482986392,-1.16675424472647,182,"CPT1A;PDK4;ALDH6A1;ACADVL;CASP7;NDUFB1;ECH1;SDHA;MPC1;COX7C;SLC25A20;ETFDH;UQCR10;ACADM;NNT;RETSAT;HADHB;ACO2;NDUFA2;AFG3L2;NDUFA1;ACAT1;NDUFV1;COX6C;COX10;HADHA;NDUFA3;NDUFS7;COX8A;COX5A;SDHB;UQCRC1;COX5B;UQCRC2;ACADSB;SUCLG1;BDH2;UQCR11;ETFA;SDHD;NDUFA5;NDUFC1;COX4I1;NDUFB7;UQCRB;OXA1L;DLST;COX11;COX6B1;SURF1;NDUFA7;ECI1;UQCRQ"
"HALLMARK_UV_RESPONSE_UP",0.138376383763838,0.214563940054136,0.160801401070022,0.269716909215742,1.17826977275118,135,"GRINA;ENO2;GAL;ATP6V1F;CYB5B;PPT1;EIF2S3;CDC34;BID;YKT6;ATP6V1C1;TAP1;ALAS1;HYAL2;KCNH2;ASNS;SLC6A8;C4BPB;TUBA4A;SIGMAR1;TYRO3;STIP1;E2F5;STARD3;FEN1;NUP58;CREG1;GGH;MSX1;PDAP1;ALDOA;CCNE1;IL6"
"HALLMARK_APOPTOSIS",0.191528545119705,0.281659625176037,0.134273452883202,0.257941905130861,1.13621202601065,142,"IFITM3;ENO2;BCL2L1;TIMP1;CDC25B;PPT1;BID;GPX4;BCAP31;IL1B;GPX1;ANXA1;TAP1;IFNGR1;CTNNB1;TIMP3;TNF;CD44;CASP4;EBP;CCND1;VDAC2;SAT1;DDIT3;DAP3;CFLAR;SOD1;TGFBR3;IL6;DFFA;TIMP2"
"HALLMARK_ANGIOGENESIS",0.208413001912046,0.297732859874351,0.130777137971974,0.401307368977882,1.23003741052217,22,"TIMP1;SPP1;S100A4;MSX1;JAG1;PF4"
"HALLMARK_APICAL_SURFACE",0.240083507306889,0.324437172036337,0.126875729929857,-0.361297908870053,-1.16916852387701,26,"EFNA5;ATP8B1;AKAP7;GSTM3;APP;SRPX"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.237068965517241,0.324437172036337,0.130105630751129,-0.287174377124885,-1.12585562379666,63,"IL1R2;ACVRL1;SOCS3;JUN;IL6ST;STAT3;FAS;CD36;IL3RA;A2M;CNTFR;ACVR1B;IL10RB;PLA2G2A"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.270676691729323,0.35615354174911,0.11146266692298,0.266691576958427,1.09536681345778,92,"TRIB3;CDK1;SLC2A1;PLCB1;CDK4;CSNK2B;UBE2N;PLCG1;HSP90B1;THEM4;DDIT3;HRAS;RALB;YWHAB;RAC1;PTPN11;CALR;ARPC3;MAPKAP1;MAP3K7;DUSP3;E2F1;ACTR3;DAPP1;PIN1;PRKAG1;ARHGDIA;MAPK8;ACACA;NOD1;GSK3B;PPP1CA"
"HALLMARK_NOTCH_SIGNALING",0.279749478079332,0.358653177024785,0.116234148779716,-0.350328489114935,-1.13367122375981,26,"NOTCH2;FZD1;DLL1;MAML2;HES1;ARRB1;FZD5;TCF7L2;NOTCH1;PRKCA"
"HALLMARK_HEDGEHOG_SIGNALING",0.318565400843882,0.397520549791133,0.108394255853397,-0.339233767344011,-1.10516032640981,27,"UNC5C;TLE3;RTN1;ETS2;CNTFR;HEY1;TLE1;CDK6;SCG2;VLDLR;MYH9"
"HALLMARK_P53_PATHWAY",0.325966850828729,0.397520549791133,0.0985499803531691,0.232630567516377,1.05863377182319,182,"TRIB3;PROCR;CDKN2A;CD81;PERP;S100A4;KLK8;LIF;PHLDA3;PITPNC1;PVT1;LDHB;ADA;SLC7A11;TAP1;TPD52L1;PCNA;SLC3A2;MAPKAPK3;TPRKB;DDIT4;NINJ1;BLCAP;DRAM1;GLS2;TM4SF1;IRAK1;INHBB;SAT1;DDIT3;HRAS"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.37037037037037,0.440917107583774,0.0913924325943768,0.229932848742662,1.0377943934468,166,"KLK10;TGM2;STC2;SULT2B1;BHLHE40;ELOVL5;ANXA9;SLC2A1;TMPRSS3;SEC14L2;SLC7A5;DYNLT3;PTGES;PRSS23;DHCR7;SCARB1;TPD52L1;KCNK5;SLC39A6;CD44;FOXC1;PODXL;SH3BP5;ZNF185;WFS1;CCND1;UNC119;ARL3;INHBB;SLC1A4;REEP1;NXT1;KRT15;SLC16A1"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.404580152671756,0.470442037990414,0.0880945010398517,0.293933651138713,1.03008875246224,36,"NKD1;CTNNB1;SKP2;WNT6;KAT2A;NCOR2;JAG1;MYC;HDAC2;PSEN2;AXIN2"
"HALLMARK_APICAL_JUNCTION",0.494505494505495,0.561938061938062,0.0751181635276301,0.228347843955798,0.993502467593532,128,"CDH3;TGFBI;CNN2;MYL9;EPB41L2;TUBG1;RRAS;CERCAM;SDC3;DSC3;KCNH2;ZYX;CD276;GNAI2;MAPK14;PLCG1;ITGA9;INSIG1;HRAS;MMP9;ADAM9;MPZL1;AMIGO2;CDK8;RHOF"
"HALLMARK_MYOGENESIS",0.543893129770992,0.604325699745547,0.0723570851036907,0.228914471977639,0.973517521228668,118,"SCD;TEAD4;NQO1;PRNP;STC2;CKMT2;BHLHE40;KIFC3;PDLIM7;MYL6B;TPD52L1;KCNH2;SLC6A8;MAPK12;CRYAB;ATP6AP1;FDPS;REEP1;PFKM;TPM2;PTP4A3"
"HALLMARK_ANDROGEN_RESPONSE",0.59656652360515,0.648441873483859,0.0736212741014394,-0.221183290464817,-0.924679510634588,86,"SLC26A2;PLPP1;SPDEF;ADAMTS1;FKBP5;ELL2;TPD52;SLC38A2;TMPRSS2;GPD1L;IQGAP2;APPBP2;PTK2B;HPGD;PDLIM5;GSR;ZBTB10;CDK6;UAP1;PTPN21;SGK1;SRF;MAP7;AKT1;HERC3"
"HALLMARK_BILE_ACID_METABOLISM",0.644251626898048,0.671095444685466,0.0702812841717392,-0.220711756143924,-0.902617752028365,77,"NR3C2;PXMP2;ABCA5;SULT1B1;EPHX2;SCP2;SLC27A2;RETSAT;TFCP2L1;NR1H4;HSD17B11;SERPINA6;CAT;RXRA;TTR;PEX6;AGXT"
"HALLMARK_PEROXISOME",0.635496183206107,0.671095444685466,0.0646484568421928,0.226664035428653,0.924492028910369,90,"FABP6;PRDX1;SULT2B1;ELOVL5;IDE;ITGB1BP1;FADS1;ACSL4;FDPS;HRAS;ATXN1;RDH11;SLC35B2;SOD1;CDK7;ABCD1;CRABP2;DHCR24;GNPAT;ACSL1;IDI1;CTPS1;PEX11B;CNBP;SLC25A17;PEX5"
"HALLMARK_MITOTIC_SPINDLE",0.789130434782609,0.789130434782609,0.0605092988656667,-0.190942903410601,-0.88521875769664,188,"FGD4;AKAP13;NOTCH2;MARCKS;NET1;ABL1;PCNT;ARHGAP27;SHROOM1;NEDD9;APC;SUN2;WASL;CDC42BPA;PCM1;TIAM1;EPB41;RABGAP1;CDC42EP4;RASA2;SYNPO;RAPGEF5;LMNB1;EZR;KIF1B;SORBS2;PDLIM5;ABR;ARF6;TUBGCP6;KIFAP3;PALLD;GSN;SPTAN1;ARHGEF2;MYO1E;TUBD1;ROCK1;TLK1;CEP192;TSC1;DYNC1H1;WASF2;KIF22;ARHGEF11;BCAR1;CSNK1D;NUMA1;MYH9;CNTROB"
"HALLMARK_SPERMATOGENESIS",0.787037037037037,0.789130434782609,0.0531298054705469,0.212952003863051,0.830143571042302,66,"CDK1;CLPB;IDE;TALDO1;TSN;TNNI3;PSMG1;CDKN3;AURKA;CSNK2A2;NPHP1"
